Video_ID,Published Date,Channel_ID,Video Title,Description,Thumbnail URL,Channel_Title,,,,,
m6YTge3JxiI,2018-10-11T21:58:19Z,UCf3r1JdYf6scuGaI0YRkyNg,Post Malone at Norman&#39;s Rare Guitars | 1964 Gibson SG Standard,"The day after the American Music Awards, Post Malone stopped by Norman's Rare Guitars to add to his arsenal of fine guitars. #PostMalone happens to be a ...",https://i.ytimg.com/vi/m6YTge3JxiI/default.jpg,Normans Rare Guitars,,,,,
Ctpcwi1o210,2018-12-05T20:26:59Z,UCh3BbC85YARDmHksD4nnmNA,Famous guitars sound comparison. Guitarbank session,"One from a Brand. Our gear https://reverb.com/shop/guitarbank Gibson Les Paul Standard Fender Stratocaster 57"" PRS Custom 22 MusicMan Axis ...",https://i.ytimg.com/vi/Ctpcwi1o210/default.jpg,guitarbank,,,,,
,2010-03-05T00:48:22Z,UCf3r1JdYf6scuGaI0YRkyNg,Normans Rare Guitars,"Check out Norman's Rare Guitars, a world known vintage guitar store in Tarzana, California. 818-344-8300 Be our Fan on Facebook at ...",https://yt3.ggpht.com/-BKD_oXN3br8/AAAAAAAAAAI/AAAAAAAAAAA/Z6fdaee6_Bw/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Normans Rare Guitars,,,,,
muTHC-6bjyg,2020-08-01T17:18:09Z,UCfeviwU6C7kEjpOK4C6myuQ,Guitar Time Live! (@ Midnight Eastern Time),Get My Free Fretboard Decoder Course! - https://goo.gl/vw6My6 ▻Tabs are HERE - ▻Support the channel shop with my affiliate link ...,https://i.ytimg.com/vi/muTHC-6bjyg/default_live.jpg,Robert Baker,,,,,
9SCkJlLeIZE,2019-02-01T23:06:47Z,UClMRGR_QNw4Fm-3FGGyICdw,I Just Bought a $100 Guitar...And it&#39;s FANTASTIC!,"Can you actually get a decent guitar for $100? In today's video I buy one, tear it apart, and tone test it! If you enjoyed this video, be sure to like and subscribe ...",https://i.ytimg.com/vi/9SCkJlLeIZE/default.jpg,Darrell Braun Guitar,,,,,
_E8g8V8lay0,2018-08-01T15:47:40Z,UCshiNtfJ7Dj3nlh41a6M-kg,The 5 Guitars Every Guitarist Needs,For 10% off your String Swing: http://bit.ly/MiW-SS10 Join Guitar Super System today: http://musiciswin.com Follow on Instagram: http://instagram.com/musiciswin ...,https://i.ytimg.com/vi/_E8g8V8lay0/default.jpg,Music is Win,,,,,
z3TfsX_0xQM,2020-08-01T20:00:05Z,UCf3r1JdYf6scuGaI0YRkyNg,Guitar of the Day: 2017 Gibson Les Paul SG Reissue VOS | Norman&#39;s Rare Guitars,"Stay safe, be kind and hope you're all well! Enjoy this new episode of #GuitarOfTheDay: Lemmo playing an 2017 Gibson Les Paul SG Reissue VOS here at ...",https://i.ytimg.com/vi/z3TfsX_0xQM/default.jpg,Normans Rare Guitars,,,,,
rChIZlSf-xU,2020-07-10T23:59:50Z,UCmyjVwYZbp5YPYTUyeopO2g,Pawn Stars: TOP 12 RARE &amp; EXPENSIVE GUITARS | History,"Watch all new episodes of Pawn Stars, Mondays at 10/9c, and stay up to date on all of your favorite History Channel shows at https://history.com/schedule.",https://i.ytimg.com/vi/rChIZlSf-xU/default.jpg,Pawn Stars,,,,,
3anNG7TfHSQ,2019-10-16T14:00:01Z,UCshiNtfJ7Dj3nlh41a6M-kg,The Best &quot;Beginner Guitar&quot; is...,"Join Guitar Super System today: http://musiciswin.com Advance Music | Burlington, VT: http://advancemusicvt.com #GuitarStoreTour | 50 States. 50 Guitar Stores.",https://i.ytimg.com/vi/3anNG7TfHSQ/default.jpg,Music is Win,,,,,
fTgS_LfF0co,2020-04-18T19:48:39Z,UCl16xaNY2arX3OzZBvTlsPQ,My ENTIRE Guitar Collection!,Stevie T shreds ALL his guitars! Install Hustle Castle and get a SPECIAL BONUS! https://clcr.me/HC_SteveTerreberry SUBSCRIBE for 2 MILL SUB CLUB ...,https://i.ytimg.com/vi/fTgS_LfF0co/default.jpg,SteveTerreberry,,,,,
iBtc29BCKUM,2020-07-25T20:30:01Z,UCf3r1JdYf6scuGaI0YRkyNg,Guitar of the Day: 1969 Fender Stratocaster Maple Cap | Norman&#39;s Rare Guitars,"It's freakin' #Straturday!!! Stay safe, be kind and hope you're all well! Enjoy this new episode of #GuitarOfTheDay: Lemmo playing an Original 1969 Fender ...",https://i.ytimg.com/vi/iBtc29BCKUM/default.jpg,Normans Rare Guitars,,,,,
PyM8IgQhHKo,2019-09-26T13:42:49Z,UCpV5A65O3mvaJmlc669cI1A,CARBON FIBER? This Guitar Sounds SO Good!,My BEGINNER Guitar Course! https://maryspendermasterclass.teachable.com/ Support my work and get EXCLUSIVE videos/music: ...,https://i.ytimg.com/vi/PyM8IgQhHKo/default.jpg,Mary Spender,,,,,
y5MfVlnbVdQ,2016-11-03T07:24:48Z,UCLTe8gq3BM9YwFAQzh5pviw,9 Different Types of Guitar,Playing different guitars in a music shop is a great way of familiarizing yourself with each model's unique qualities but don't forget to know about all the different ...,https://i.ytimg.com/vi/y5MfVlnbVdQ/default.jpg,Learn Everything,,,,,
jxgu3S4uQec,2018-06-27T11:19:54Z,UCOVuwHltzCybqwcweEnm2pw,Top 50 Guitar Love Songs Instrumental 🎸 Soft Relaxing Romantic Guitar Music,Top 50 Guitar Love Songs Instrumental Soft Relaxing Romantic Guitar Music Thank you So Much For Watching Enjoy it and Don't Forget Like ...,https://i.ytimg.com/vi/jxgu3S4uQec/default.jpg,Radio4You,,,,,
isJ9Ez_j480,2019-10-26T12:00:08Z,UCDdnJK4XgH1vFQPCun4EL9Q,Maroon 5 - Memories (Fingerstyle Guitar Cover),This is my solo acoustic fingerstyle guitar arrangement for ''MEMORIES'' by Maroon 5. Give a thumbs up if you enjoyed. :) TABS: ...,https://i.ytimg.com/vi/isJ9Ez_j480/default.jpg,Guus Music,,,,,
BBeT-8hwBH8,2019-02-26T08:59:29Z,UCf2G6jDbJI3s0d5U-N9fqzg,"Best Type Of Budget Guitars In India - Rs. 2000,3000,5-10000 - Yamaha,Fender,Cort,Juarez,Vault",If u like my work and want to donate something my paytm and google pay no. is 7006340884 do like the video and subscribe to the channel....thankyou guys!,https://i.ytimg.com/vi/BBeT-8hwBH8/default.jpg,Aman Panotra,,,,,
AjK4GVR1EcE,2020-07-25T13:01:45Z,UCyDZai57BfE_N0SaBkKQyXg,The History of Guitar,"Where did the guitar come from? We learn about and play 7 instruments along the path of the guitar's evolution, from the Arabic Oud to the modern acoustic as ...",https://i.ytimg.com/vi/AjK4GVR1EcE/default.jpg,Rob Scallon,,,,,
LKf-IaCQTyA,2019-03-15T21:00:06Z,UCl16xaNY2arX3OzZBvTlsPQ,Most METAL Guitar Ever!,Today I unveil the 20 string 'Djentar'! The most metal and djentiest guitar ever made!! Then we put it to the ultimate shred test! Thanks to 10s guitars for making ...,https://i.ytimg.com/vi/LKf-IaCQTyA/default.jpg,SteveTerreberry,,,,,
rHyoEhmD510,2020-03-03T15:59:56Z,UCaLCI9770qY9hGRmdZgVV-g,The Best VINTAGE GUITARS in DALLAS TEXAS,"What was your favorite guitar I played? If you would like to support the channel and my journey to release my original music, links below✌   ...",https://i.ytimg.com/vi/rHyoEhmD510/default.jpg,Matthew Scott,,,,,
ru5XdLQQftA,2020-08-01T13:30:12Z,UCvE_03SkYjkovApE4O9AjBg,Top 100 Most Beautiful Classical Guitar Songs - Best Romantic Guitar Love Songs for Relaxation,Top 100 Most Beautiful Classical Guitar Songs - Best Romantic Guitar Love Songs for Relaxation Thank You So Much For Watching Enjoy It and Don't ...,https://i.ytimg.com/vi/ru5XdLQQftA/default.jpg,Guitar Classic,,,,,
TgIFuHp3I3I,2020-07-31T05:15:01Z,UCuNVQeVXwfwxVUKdrCQgk3A,Savage Love - Jason Derulo - Cover (acoustic fingerstyle guitar),"Learn Guitar: Try the 14 day FREE trial at GuitarTricks with over 11000 lessons! https://goo.gl/rDnSk6 If you want to start fingerstyle, I highly recommend the ...",https://i.ytimg.com/vi/TgIFuHp3I3I/default.jpg,Andrew Foy 앤디,,,,,
6l03HZIFRUs,2020-02-12T23:00:00Z,UCCJ56k8nBeqWLoxNa6DToAQ,Finding The PERFECT Acoustic Guitar | This One Blew Me Away,"In this video, Ben Calhoun from Righteous Guitars takes us through the best way to find the perfect acoustic guitar for you. I try out some popular body styles and ...",https://i.ytimg.com/vi/6l03HZIFRUs/default.jpg,Rhett Shull,,,,,
xnKz3JqxPSI,2020-07-31T22:00:26Z,UCnfXz2OeVJHYyebACjj4ZGA,I already won The Great Guitar Build-off 2020! (Here&#39;s why),,https://i.ytimg.com/vi/xnKz3JqxPSI/default.jpg,Guns and Guitars,,,,,
_7I1sjCdB_I,2018-05-01T03:22:58Z,UC8mnXeOlR9hC2w8aYqY9WNQ,12-Year-Old Kid Destroys Opponents in Guitar Shred-Off,"If you're new, Subscribe! → http://bit.ly/subscribe-loudwire At Welcome to Rockville, a kid smoked two other guitarists at Loudwire's Gear Factor shred-off.",https://i.ytimg.com/vi/_7I1sjCdB_I/default.jpg,Loudwire,,,,,
28jbM6xcQRQ,2019-09-02T17:59:47Z,UCmyjVwYZbp5YPYTUyeopO2g,Pawn Stars: Lowball Offer for Bolin Batman Guitars (Season 13) | History,"Jessie can't make it to the shop to appraise two unique Batman and Joker guitars, so he sends in a special guest in this clip from Season 13, ""Gotham Pawn"".",https://i.ytimg.com/vi/28jbM6xcQRQ/default.jpg,Pawn Stars,,,,,
UrB3m57LPFM,2018-06-15T03:45:02Z,UC1AQxIHfL7La2O5bkwLVR8g,Guitar Market In Delhi | Daryaganj,My Instagram ID : http://www.instagram.com/sjvlogsss Raunak's Channel : https://www.youtube.com/channel/UCEl6zpNaaxb5agtYjeLP-Lw ...,https://i.ytimg.com/vi/UrB3m57LPFM/default.jpg,Sj Vlogs,,,,,
5t6aO1UQZXY,2020-04-21T13:05:18Z,UC_Oa7Ph3v94om5OyxY1nPKg,Is this the FUTURE of acoustic guitar? (or just a gimmick?),MY NEW COURSE◁ http://nextlevelplaying.com Today we're looking at a guitar with built-in effects: the Yamaha LS-TA. Is it more than just a gimmick? Do we ...,https://i.ytimg.com/vi/5t6aO1UQZXY/default.jpg,Paul Davids,,,,,
i1AfpFdO0KQ,2020-07-18T00:00:13Z,UCsNBeL5vY5GZT_g_4D3QAFQ,Someone Sent Me a 1959 Gibson! | Trogly&#39;s Unboxing Guitars Vlog #73 | Melody Maker 1959 vs 1964 Demo,New Trade Tuesday! ➡️ https://www.youtube.com/watch?v=q-RRElZ-zIM?sub_confirmation=1 Reverb: ...,https://i.ytimg.com/vi/i1AfpFdO0KQ/default.jpg,The Trogly's Guitar Show,,,,,
MJ6iyWSEzIs,2016-01-20T02:32:03Z,UClMRGR_QNw4Fm-3FGGyICdw,CARBON FIBER vs WOOD - Guitar Tone Comparison!,"Check out this comparison between a carbon fiber guitar and a traditional wooden instrument! If you appreciated this video, be sure to like and subscribe ...",https://i.ytimg.com/vi/MJ6iyWSEzIs/default.jpg,Darrell Braun Guitar,,,,,
